,Fall,College,Total,Male,Female,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois
12216,2008,Engineering,15,14,1,12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1.0
12217,2008,Engineering,13,13,0,10,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10,3.0
12218,2008,Engineering,109,97,12,46,5.0,1.0,2.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,25,84.0
12219,2008,Engineering,117,101,16,25,1.0,2.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,10,107.0
12220,2008,Engineering,845,743,100,602,103.0,22.0,33.0,1.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,696,149.0
12221,2007,Engineering,6,6,0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,2.0
12222,2007,Engineering,13,12,1,10,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11,2.0
12223,2007,Engineering,91,75,16,42,6.0,1.0,1.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,22,69.0
12224,2007,Engineering,128,112,16,26,1.0,2.0,3.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,14,114.0
12225,2007,Engineering,852,750,100,615,116.0,23.0,33.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,726,126.0
12226,2006,Engineering,11,9,2,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0
12227,2006,Engineering,5,5,0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0
12228,2006,Engineering,90,79,11,55,4.0,1.0,1.0,2.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,29,61.0
12229,2006,Engineering,838,742,94,619,109.0,20.0,40.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,729,109.0
12230,2006,Engineering,135,117,18,23,6.0,2.0,5.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,14,121.0
12231,2005,Engineering,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
12232,2005,Engineering,10,9,1,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1.0
12233,2005,Engineering,6,5,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.0
12234,2005,Engineering,99,88,11,56,8.0,1.0,4.0,3.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,31,68.0
12235,2005,Engineering,120,104,16,27,5.0,2.0,2.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,18,102.0
12236,2005,Engineering,819,724,92,602,116.0,16.0,36.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,705,114.0
12237,2004,Engineering,777,689,88,582,109.0,11.0,35.0,3.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,661,116.0
12238,2004,Engineering,108,97,11,68,8.0,1.0,4.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,40,68.0
12239,2004,Engineering,5,4,1,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0
12240,2004,Engineering,124,109,15,33,6.0,2.0,4.0,1.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,21,103.0
12241,2018,Media,85,39,46,39,9.0,8.0,17.0,0.0,0.0,2.0,8.0,10.0,0.0,0.0,10.0,70,15.0
12242,2018,Media,19,8,11,7,2.0,3.0,4.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,3.0,15,4.0
12243,2018,Media,12,3,9,2,1.0,2.0,3.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,7,5.0
12244,2017,Media,35,14,21,14,6.0,2.0,6.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,9.0,27,8.0
12245,2017,Media,35,17,18,13,7.0,7.0,4.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,7.0,27,8.0
