,Fall,College,Total,Male,Female,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois
0,1981,Business,1433,816,617,1303,37.0,68.0,15.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1401,32.0
1,1981,Business,172,109,63,118,9.0,1.0,0.0,1.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,108,64.0
2,1982,Business,1408,773,635,1279,30.0,70.0,21.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1382,26.0
3,1982,Business,146,89,57,106,6.0,1.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,91,55.0
4,1983,Business,1392,703,689,1251,37.0,73.0,20.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1361,31.0
5,1983,Business,137,88,49,100,5.0,2.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,81,56.0
6,2003,Business,859,447,412,552,141.0,31.0,36.0,2.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,711,148.0
7,2003,Business,20,12,8,6,3.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5,15.0
8,2003,Business,98,47,51,4,7.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,3,95.0
9,2003,Business,84,41,43,60,10.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,67,17.0
10,2003,Business,54,22,32,40,8.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,48,6.0
11,2003,Business,33,22,11,24,2.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,31,2.0
12,2003,Business,83,39,44,57,19.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,77,6.0
13,1980,Business,1383,842,541,1268,36.0,62.0,9.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1362,21.0
14,1980,Business,146,86,60,102,7.0,1.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,92,54.0
15,1984,Business,1207,578,629,1068,36.0,62.0,19.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1180,27.0
16,1984,Business,108,70,38,76,6.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,65,43.0
17,1985,Business,1082,503,579,965,29.0,53.0,17.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1054,28.0
18,1985,Business,130,83,47,85,11.0,6.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,87,43.0
19,1986,Business,942,435,507,820,31.0,58.0,19.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,915,27.0
20,1986,Business,139,85,54,79,10.0,7.0,1.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,79,60.0
21,1987,Business,904,430,474,773,48.0,60.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,870,34.0
22,1987,Business,135,74,61,74,11.0,3.0,2.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,76,59.0
23,1988,Business,1019,491,528,830,67.0,75.0,28.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,972,47.0
24,1988,Business,117,63,54,57,6.0,1.0,3.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50,67.0
25,1989,Business,976,484,492,760,69.0,85.0,40.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,923,53.0
26,1989,Business,109,60,49,59,7.0,0.0,2.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,52,57.0
27,1990,Business,1087,553,534,799,113.0,106.0,41.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1016,71.0
28,1990,Business,93,60,33,44,9.0,2.0,1.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,39,54.0
29,1991,Business,1138,563,575,836,130.0,91.0,53.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1067,71.0
30,1991,Business,115,63,52,58,12.0,2.0,2.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,55,60.0
31,1992,Business,1136,573,563,821,140.0,88.0,52.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1069,67.0
32,1992,Business,147,87,60,66,13.0,3.0,2.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,54,93.0
33,1993,Business,1134,588,546,829,139.0,79.0,46.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,1063,71.0
34,1993,Business,125,80,45,58,10.0,2.0,2.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,46,79.0
35,1994,Business,1041,525,516,765,130.0,58.0,43.0,1.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,953,88.0
36,1994,Business,109,47,62,45,12.0,3.0,2.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,43,66.0
37,1995,Business,1027,525,502,755,138.0,55.0,41.0,2.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,944,83.0
38,1995,Business,107,56,51,43,14.0,3.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,43,64.0
39,1996,Business,977,501,476,711,130.0,59.0,39.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,886,91.0
40,1996,Business,116,50,66,34,7.0,4.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,27,89.0
41,1997,Business,893,456,437,625,116.0,68.0,45.0,1.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,803,90.0
42,1997,Business,31,18,13,12,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,5,26.0
43,1998,Business,855,430,425,613,112.0,55.0,37.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,776,79.0
44,1998,Business,16,11,5,5,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4,12.0
45,1999,Business,790,399,391,571,104.0,40.0,36.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,711,79.0
46,1999,Business,22,13,9,7,4.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,4,18.0
47,2000,Business,719,347,372,499,101.0,42.0,34.0,1.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,643,76.0
48,2000,Business,16,10,6,6,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4,12.0
49,2001,Business,664,313,351,439,97.0,34.0,41.0,1.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,590,74.0
50,2001,Business,18,11,7,4,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3,15.0
51,2002,Business,796,401,395,527,117.0,28.0,46.0,1.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,695,101.0
52,2002,Business,20,13,7,6,2.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3,17.0
53,1997,Business,34,18,16,0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0,34.0
54,1998,Business,54,31,23,0,1.0,0.0,1.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,2,52.0
55,1999,Business,48,27,21,0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,1,47.0
56,2000,Business,75,45,30,0,1.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,1,74.0
57,2001,Business,78,42,36,0,1.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,1,77.0
58,2002,Business,85,46,39,2,1.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,2,83.0
59,1997,Business,23,15,8,5,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,5,18.0
60,1998,Business,19,9,10,7,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,6,13.0
61,1999,Business,10,5,5,3,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4,6.0
62,2000,Business,28,15,13,5,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5,23.0
63,2001,Business,117,59,58,87,10.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,79,38.0
64,2002,Business,90,45,45,65,12.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,74,16.0
65,1997,Business,15,4,11,7,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9,6.0
66,1998,Business,8,2,6,2,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3,5.0
67,1999,Business,17,10,7,8,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8,9.0
68,2000,Business,9,6,3,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,4.0
69,2001,Business,28,15,13,19,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,25,3.0
70,2002,Business,42,23,19,30,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39,3.0
71,2001,Business,4,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0
72,2002,Business,16,9,7,9,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14,2.0
73,2001,Business,92,46,46,71,16.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,83,9.0
74,2002,Business,90,36,54,68,13.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,83,7.0
75,2000,LAS,3,3,0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0
76,2001,LAS,14,10,4,1,2.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5,9.0
77,2002,LAS,21,9,12,1,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,2,19.0
78,2003,LAS,19,5,14,2,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,3,16.0
79,1980,Media,44,24,20,7,0.0,4.0,32.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0,25.0
80,1980,Media,196,53,143,0,1.0,5.0,187.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0,191.0
81,1981,Media,37,20,17,27,1.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,22,15.0
82,1981,Media,197,49,148,192,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193,4.0
83,1982,Media,42,20,22,7,0.0,3.0,30.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0,24.0
84,1982,Media,206,58,148,0,0.0,2.0,202.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,203.0
85,1983,Media,46,18,28,34,1.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,31,15.0
86,1983,Media,207,61,146,196,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203,4.0
87,1984,Media,46,14,32,8,0.0,1.0,34.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0,31.0
88,1984,Media,211,64,147,1,1.0,5.0,200.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,205.0
89,1985,Media,37,18,19,24,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,17,20.0
90,1985,Media,213,61,152,207,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206,7.0
91,1986,Media,39,20,19,26,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,20,19.0
92,1986,Media,217,55,162,208,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213,4.0
93,1987,Media,45,24,21,34,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,28,17.0
94,1987,Media,221,47,174,201,0.0,14.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219,2.0
95,1988,Media,50,21,29,34,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,24,26.0
96,1988,Media,212,46,166,193,12.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207,5.0
97,1989,Media,48,16,32,28,2.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,21,27.0
98,1989,Media,214,51,163,195,7.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207,7.0
99,1990,Media,40,17,23,20,3.0,2.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,17,23.0
100,1990,Media,214,57,157,182,6.0,19.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208,6.0
101,1991,Media,35,15,20,17,2.0,4.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20,15.0
102,1991,Media,235,61,174,192,5.0,29.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,5.0
103,1992,Media,38,10,28,24,2.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,25,13.0
104,1992,Media,199,65,134,154,16.0,23.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,9.0
105,1993,Media,28,7,21,13,1.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,14,14.0
106,1993,Media,207,68,139,152,26.0,23.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195,12.0
107,1994,Media,34,10,24,14,0.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,13,21.0
108,1994,Media,225,73,152,169,22.0,17.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,215,10.0
109,1995,Media,30,10,20,12,1.0,1.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,12,18.0
110,1995,Media,194,69,125,150,16.0,9.0,13.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,186,8.0
111,1996,Media,37,14,23,24,0.0,3.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,18,19.0
112,1996,Media,198,91,107,156,15.0,11.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,188,10.0
113,1997,Media,41,18,23,18,2.0,3.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,16,25.0
114,1997,Media,232,95,137,179,20.0,12.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,212,20.0
115,1998,Media,239,77,162,176,22.0,19.0,13.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,219,20.0
116,1998,Media,36,14,22,11,1.0,1.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,13,23.0
117,1999,Media,26,12,14,11,2.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,11,15.0
118,1999,Media,265,89,176,196,22.0,32.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,253,12.0
119,2000,Media,29,11,18,13,1.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,17,12.0
120,2000,Media,265,76,189,200,24.0,22.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,249,16.0
121,2001,Media,22,6,16,11,1.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,12,10.0
122,2001,Media,290,73,217,236,21.0,15.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,275,15.0
123,2002,Media,28,9,19,12,2.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,15,13.0
124,2002,Media,283,64,219,220,23.0,16.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,269,14.0
125,2003,Media,35,13,22,14,1.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,15,20.0
126,2003,Media,278,66,212,200,32.0,16.0,15.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,256,22.0
127,1980,Engineering,330,308,22,303,14.0,7.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,305,25.0
128,1980,Engineering,3,3,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0
129,1980,Engineering,15,10,5,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1.0
130,1980,Engineering,31,30,1,19,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,15,16.0
131,1981,Engineering,380,356,24,349,19.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360,20.0
132,1981,Engineering,14,11,3,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1.0
133,1981,Engineering,41,38,3,25,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,21,20.0
134,1982,Engineering,408,377,31,372,25.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383,25.0
135,1982,Engineering,3,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0
136,1982,Engineering,19,16,3,17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2.0
137,1982,Engineering,51,49,2,33,3.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,29,22.0
138,1983,Engineering,410,367,43,376,19.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382,28.0
139,1983,Engineering,16,15,1,14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2.0
140,1983,Engineering,47,46,1,35,3.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,30,17.0
141,1984,Engineering,450,400,50,408,24.0,6.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,414,36.0
142,1984,Engineering,2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0
143,1984,Engineering,11,11,0,9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2.0
144,1984,Engineering,32,32,0,24,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,21,11.0
145,1985,Engineering,571,515,56,513,34.0,10.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,531,40.0
146,1985,Engineering,6,3,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0
147,1985,Engineering,12,12,0,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.0
148,1985,Engineering,29,27,2,23,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,16,13.0
149,1986,Engineering,520,469,51,470,27.0,9.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,482,38.0
150,1986,Engineering,11,8,3,6,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.0
151,1986,Engineering,17,16,1,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3.0
152,1986,Engineering,51,47,4,39,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,26,25.0
153,1987,Engineering,558,502,56,485,35.0,14.0,17.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,507,51.0
154,1987,Engineering,14,13,1,12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1.0
155,1987,Engineering,16,16,0,14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2.0
156,1987,Engineering,67,64,3,40,4.0,1.0,3.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,32,35.0
157,1988,Engineering,494,443,51,424,37.0,14.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,465,29.0
158,1988,Engineering,16,14,2,9,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0
159,1988,Engineering,21,21,0,18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,5.0
160,1988,Engineering,79,74,5,48,6.0,1.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,43,36.0
161,1989,Engineering,403,359,44,334,23.0,16.0,24.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,360,43.0
162,1989,Engineering,14,11,3,11,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0
163,1989,Engineering,27,25,2,21,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1.0
164,1989,Engineering,69,65,4,41,7.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,35,34.0
165,1990,Engineering,382,342,40,305,32.0,15.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338,44.0
166,1990,Engineering,5,4,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0
167,1990,Engineering,24,21,3,19,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3.0
168,1990,Engineering,68,63,5,37,6.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,28,40.0
169,1991,Engineering,333,297,36,263,34.0,15.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,292,41.0
170,1991,Engineering,5,4,1,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0
171,1991,Engineering,26,22,4,22,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4.0
172,1991,Engineering,78,74,4,49,1.0,0.0,1.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,35,43.0
173,1992,Engineering,291,255,36,230,34.0,13.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,256,35.0
174,1992,Engineering,4,4,0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0
175,1992,Engineering,28,23,5,22,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,6.0
176,1992,Engineering,69,65,4,48,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,30,39.0
177,1993,Engineering,280,244,36,227,27.0,8.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,251,29.0
178,1993,Engineering,2,2,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
179,1993,Engineering,20,16,4,16,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,6.0
180,1993,Engineering,64,60,4,42,1.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,28,36.0
181,1994,Engineering,249,214,35,199,27.0,5.0,12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,217,32.0
182,1994,Engineering,10,8,2,6,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2.0
183,1994,Engineering,61,58,3,41,2.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,29,32.0
184,1995,Engineering,217,189,28,175,23.0,6.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,187,30.0
185,1995,Engineering,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
186,1995,Engineering,10,8,2,7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2.0
187,1995,Engineering,58,54,4,41,2.0,1.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,27,31.0
188,1996,Engineering,194,155,39,155,18.0,6.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,158,36.0
189,1996,Engineering,10,7,3,7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2.0
190,1996,Engineering,54,50,4,33,3.0,1.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,22,32.0
191,1997,Engineering,212,169,43,164,23.0,8.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,171,41.0
192,1997,Engineering,6,3,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0
193,1997,Engineering,61,53,8,32,5.0,0.0,3.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,21,40.0
194,1998,Engineering,223,175,48,167,20.0,11.0,14.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,184,39.0
195,1998,Engineering,7,3,4,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2.0
196,1998,Engineering,69,60,9,31,5.0,0.0,3.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,21,48.0
197,1999,Engineering,267,203,64,201,31.0,12.0,12.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,226,41.0
198,1999,Engineering,7,2,5,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2.0
199,1999,Engineering,69,64,5,29,3.0,0.0,2.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,24,45.0
200,2000,Engineering,302,242,60,228,36.0,7.0,16.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,257,45.0
201,2000,Engineering,3,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2.0
202,2000,Engineering,11,6,5,7,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4.0
203,2000,Engineering,62,57,5,22,3.0,0.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,20,42.0
204,2001,Engineering,331,279,52,251,36.0,5.0,17.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,278,53.0
205,2001,Engineering,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2.0
206,2001,Engineering,10,6,4,7,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4.0
